geo_level,geography,year,e_pop_num,e_inc_num,e_inc_100k,c_newinc,c_newinc_100k,c_cdr,coverage_gap_pct,coverage_gap_pct_nonnegative,notification_gap_num,notification_gap_num_nonnegative,notification_gap_pct,e_mort_num,e_mort_100k,case_fatality_pct,e_inc_tbhiv_num,e_inc_tbhiv_100k,e_mort_tbhiv_num,e_mort_tbhiv_100k,hiv_incidence_share_pct,e_inc_rr_num,rr_incidence_share_pct,mortality_excluding_hiv_num
WHO region,Eastern Mediterranean,2009,624728298.0,809230.0,129.53311104854097,411909.0,65.93410308428193,50.90135066668314,49.09864933331686,49.09864933331686,397321.0,397321.0,49.09864933331686,106869.0,17.106476582240557,13.206257800625284,10428.0,1.6692056424183301,3802.0,0.6085845658299281,1.2886324036429693,,,103067.0
WHO region,Eastern Mediterranean,2010,639579492.0,823743.0,128.79446734980678,412913.0,64.56007504380706,50.126435065305564,49.873564934694436,49.873564934694436,410830.0,410830.0,49.873564934694436,101838.0,15.922649377256768,12.362836467199115,9398.0,1.469402962032435,3536.0,0.5528632553465301,1.1408898163626275,,,98302.0
WHO region,Eastern Mediterranean,2011,643997555.0,811003.0,125.93262097089794,408502.0,63.43222840341373,50.36997397050319,49.63002602949681,49.63002602949681,402501.0,402501.0,49.63002602949681,97467.0,15.134684789292407,12.018081314125842,14295.0,2.219728924281397,4934.0,0.7661519770832048,1.762632197414806,,,92533.0
WHO region,Eastern Mediterranean,2012,658107597.0,817132.0,124.16389109089711,411664.0,62.552689237532086,50.37913091152959,49.62086908847041,49.62086908847041,405468.0,405468.0,49.62086908847041,94734.0,14.394910563538136,11.593475717509532,14284.0,2.170465751362539,5423.0,0.8240293874012216,1.7480651840828654,,,89311.0
WHO region,Eastern Mediterranean,2013,672121295.0,826220.0,122.92721658223908,434472.0,64.64190366115389,52.58550991261407,47.41449008738593,47.41449008738593,391748.0,391748.0,47.41449008738592,93098.0,13.85136889614545,11.267943162837984,14359.0,2.1363703407135763,6209.0,0.9237915903259694,1.7379148410834888,,,86889.0
WHO region,Eastern Mediterranean,2014,686198733.0,822869.0,119.9170095232455,453744.0,66.124284143789,55.14170542334199,44.85829457665801,44.85829457665801,369125.0,369125.0,44.85829457665801,92288.0,13.449165024908316,11.215393944844196,12727.0,1.8547105070215861,5162.0,0.7522602056451189,1.546661740811721,,,87126.0
WHO region,Eastern Mediterranean,2015,699881956.0,828782.0,118.41739780472352,473098.0,67.5968277141867,57.083527393210765,42.916472606789235,42.916472606789235,355684.0,355684.0,42.91647260678924,89346.0,12.765867048585548,10.780398222934378,5889.0,0.8414276078293408,2299.0,0.3284839650873925,0.7105607988590485,36310.0,4.381127968512829,87047.0
WHO region,Eastern Mediterranean,2016,713033955.0,834718.0,117.06567326095993,514477.0,72.15322585864793,61.63482757050885,38.36517242949115,38.36517242949115,320241.0,320241.0,38.36517242949115,85261.0,11.957495067678789,10.21434783962967,6548.0,0.9183293381869873,2334.0,0.32733364009291815,0.7844565470015022,32713.0,3.919048109660987,82927.0
WHO region,Eastern Mediterranean,2017,725894734.0,840418.0,115.7768421006344,523523.0,72.12106321741135,62.293168399534515,37.706831600465485,37.706831600465485,316895.0,316895.0,37.706831600465485,81266.0,11.195287166802894,9.669711976659235,5447.0,0.7503842836804488,1859.0,0.25609773882172837,0.6481298591891178,30512.0,3.6305743094507736,79407.0
WHO region,Eastern Mediterranean,2018,738799059.0,847134.0,114.66365443759993,526338.0,71.24237552663152,62.13161081953976,37.86838918046024,37.86838918046024,320796.0,320796.0,37.868389180460234,81112.0,10.978898661537142,9.57487245229208,6576.0,0.8900931748479664,2263.0,0.30630791585780837,0.7762644398642954,28473.0,3.3610975359270197,78849.0
WHO region,Eastern Mediterranean,2019,752215779.0,853171.0,113.42104537267358,497992.0,66.20334402743232,58.36954139322598,41.63045860677402,41.63045860677402,355179.0,355179.0,41.63045860677402,80405.0,10.689087126953234,9.424253754522834,7773.0,1.0333471082371433,2871.0,0.38167239775490003,0.911071754665829,26463.0,3.1017228668109906,77534.0
WHO region,Eastern Mediterranean,2020,765845612.0,846919.0,110.58612685502989,423479.0,55.29560963261091,50.00230246339969,49.99769753660031,49.99769753660031,423440.0,423440.0,49.99769753660031,88206.0,11.517464958720687,10.41492751963293,6447.0,0.8418145771134875,2774.0,0.36221399672914756,0.7612298224505532,24413.0,2.8825661013627037,85432.0
WHO region,Eastern Mediterranean,2021,779593997.0,887747.0,113.87299073828041,497892.0,63.8655507759124,56.08489806217312,43.91510193782688,43.91510193782688,389855.0,389855.0,43.915101937826876,91429.0,11.727771167021954,10.298992843681814,5447.0,0.6986970167755153,2115.0,0.27129505975403245,0.6135757147024997,22686.0,2.555457804982726,89314.0
WHO region,Eastern Mediterranean,2022,794641201.0,916459.0,115.32991227319964,592785.0,74.59781839325998,64.68210798300852,35.31789201699148,35.31789201699148,323674.0,323674.0,35.317892016991486,84205.0,10.59660635441932,9.188081518103921,4385.0,0.5518213747892491,1409.0,0.17731272909419654,0.47847203202761934,22223.0,2.4248766175028016,82796.0
WHO region,Eastern Mediterranean,2023,809901214.0,910523.0,112.42395791741585,638513.0,78.83838040524284,70.12596057430729,29.874039425692715,29.874039425692715,272010.0,272010.0,29.874039425692704,85325.0,10.535235473791992,9.370987882788244,4667.0,0.5762431169784615,1390.0,0.1716258694236258,0.5125625601989187,19737.0,2.1676552926175394,83935.0
WHO region,Eastern Mediterranean,2024,824402389.0,920736.0,111.68526587081494,664741.0,80.63307540948914,72.1966991624092,27.803300837590797,27.803300837590797,255995.0,255995.0,27.803300837590793,86925.0,10.544001468195647,9.44081691168804,4750.0,0.5761749436172485,1304.0,0.158175184521451,0.5158916345184722,19197.0,2.08496246481076,85621.0
WHO region,Europe,2000,862052459.0,571281.0,66.26986490621448,370230.0,42.9475023398779,64.8069864042389,35.1930135957611,35.1930135957611,201051.0,201051.0,35.19301359576111,82718.0,9.595471729870676,14.479389302287316,27700.0,3.213261526117867,9243.0,1.0722085301771642,4.8487521902531325,,,73469.0
WHO region,Europe,2001,863690399.0,561237.0,64.9812711418134,363853.0,42.12771155280609,64.83054395914738,35.16945604085262,35.16945604085262,197384.0,197384.0,35.169456040852616,79502.0,9.204918810264555,14.165495147326352,26620.0,3.082122949476019,9882.0,1.144159991988055,4.74309427211677,,,69614.0
WHO region,Europe,2002,866168521.0,561181.0,64.78889343058913,370084.0,42.72655851920529,65.94735032012844,34.052649679871564,34.052649679871564,191097.0,191097.0,34.05264967987156,79342.0,9.160111234289475,14.13839741545063,25503.0,2.944346207659052,9393.0,1.0844310053147268,4.544523068314858,,,69942.0
WHO region,Europe,2003,869042406.0,565752.0,65.10062064796409,432546.0,49.77271500373711,76.45505451151742,23.544945488482583,23.544945488482583,133206.0,133206.0,23.544945488482586,76576.0,8.811537788180155,13.535259265543914,26280.0,3.0240181398006483,6240.0,0.7180317044275513,4.645144869129937,,,70327.0
WHO region,Europe,2004,871563458.0,541699.0,62.152559865583534,315741.0,36.22696627558702,58.287166858347526,41.712833141652474,41.712833141652474,225958.0,225958.0,41.71283314165247,75196.0,8.62771371490887,13.881509842181728,24825.0,2.8483296049339417,7816.0,0.8967792222422432,4.582803364968368,,,67373.0
WHO region,Europe,2005,882211671.0,541856.0,61.42018041835676,368624.0,41.78407655638462,68.02988247800154,31.97011752199846,31.97011752199846,173232.0,173232.0,31.970117521998464,78274.0,8.872473871409484,14.445535345183961,25178.0,2.853963603934231,8785.0,0.9957927659290737,4.6466219807476525,,,69484.0
WHO region,Europe,2006,884511693.0,523735.0,59.21176668944273,363066.0,41.04705487483024,69.322462695829,30.677537304170997,30.677537304170997,160669.0,160669.0,30.677537304171004,69953.0,7.908657460789498,13.356563911138267,26097.0,2.950441492919868,8567.0,0.9685570092288197,4.982863471030196,,,61382.0
WHO region,Europe,2007,887436828.0,500930.0,56.446834771206944,352877.0,39.763619095600575,70.44437346535443,29.55562653464557,29.55562653464557,148053.0,148053.0,29.555626534645558,63812.0,7.190596331663621,12.738706006827302,20784.0,2.342025859670543,5578.0,0.628551782392335,4.1490827061665305,,,58222.0
WHO region,Europe,2008,890978909.0,482368.0,54.13910420633761,347141.0,38.96175279722587,71.96600935385432,28.033990646145682,28.033990646145682,135227.0,135227.0,28.03399064614568,62214.0,6.982656870051679,12.897621732784929,22747.0,2.553034619588285,5942.0,0.6669069200155443,4.715694241740746,,,56268.0
WHO region,Europe,2009,894431608.0,461203.0,51.56380833088805,353417.0,39.513026690800935,76.62938012111803,23.370619878881968,23.370619878881968,107786.0,107786.0,23.370619878881968,60172.0,6.727400894803798,13.046749479079711,27930.0,3.122653509803066,6180.0,0.6909415929317203,6.055901631168921,,,53981.0
WHO region,Europe,2010,897770399.0,433127.0,48.24474057982391,329909.0,36.74759163005106,76.16911437061185,23.83088562938815,23.83088562938815,103218.0,103218.0,23.830885629388145,55633.0,6.196795980572311,12.844500573734724,28439.0,3.1677364314614698,7203.0,0.8023209506599026,6.565972566937642,,,48422.0
WHO region,Europe,2011,901136302.0,415657.0,46.125874529467126,315415.0,35.00191916583114,75.88348085079765,24.116519149202347,24.116519149202347,100242.0,100242.0,24.116519149202347,50174.0,5.5678591450197725,12.071010472577148,26266.0,2.9147643859985126,6248.0,0.6933468317870519,6.319152570508857,,,43919.0
WHO region,Europe,2012,904542086.0,383436.0,42.39006740920179,299302.0,33.08878653988909,78.05787667303018,21.94212332696982,21.94212332696982,84134.0,84134.0,21.94212332696982,46261.0,5.114300452792862,12.064855673437028,26609.0,2.9417094474474235,5855.0,0.647288842677465,6.939619649693821,,,40402.0
WHO region,Europe,2013,908152335.0,366549.0,40.36206106324662,297569.0,32.7664190832037,81.18123361405979,18.818766385940208,18.818766385940208,68980.0,68980.0,18.818766385940215,43050.0,4.740394132224524,11.744678064869909,29153.0,3.2101442540474228,6322.0,0.6961387155382912,7.95337049071202,,,36723.0
WHO region,Europe,2014,912442280.0,340990.0,37.37113102650176,273428.0,29.96660786038981,80.18651573359922,19.813484266400778,19.813484266400778,67562.0,67562.0,19.813484266400774,40786.0,4.469981377890556,11.961054576380539,28018.0,3.0706599873912026,6517.0,0.7142369597340448,8.21666324525646,,,34265.0
WHO region,Europe,2015,917594206.0,325741.0,35.49946129454963,266429.0,29.03560182244656,81.79166884119591,18.208331158804086,18.208331158804086,59312.0,59312.0,18.208331158804082,37572.0,4.094620449249001,11.534317141532691,29063.0,3.1673042190068057,6792.0,0.7401964785292029,8.922119106897812,90282.0,27.715884705947364,30775.0
WHO region,Europe,2016,922589530.0,307163.0,33.293570977333765,253120.0,27.435819697628695,82.40575850607007,17.59424149392993,17.59424149392993,54043.0,54043.0,17.594241493929932,34424.0,3.7312367938968483,11.207078977611236,35097.0,3.8041836438356285,6478.0,0.7021540771224664,11.426180887672018,85630.0,27.877706624821347,27940.0
WHO region,Europe,2017,927006669.0,289682.0,31.2491818761662,238875.0,25.76842303170097,82.46111253029184,17.538887469708158,17.538887469708158,50807.0,50807.0,17.53888746970816,30726.0,3.31453926142143,10.606803322263723,32392.0,3.494257493847652,6070.0,0.654795720784615,11.18191672247499,80523.0,27.79703260817034,24653.0
WHO region,Europe,2018,931032033.0,272390.0,29.256780684795192,227034.0,24.385197496206878,83.3488747751386,16.651125224861403,16.651125224861403,45356.0,45356.0,16.651125224861413,28478.0,3.0587561964154246,10.454862513308125,30652.0,3.292260514520879,5368.0,0.5765644800322354,11.252982855464591,75547.0,27.734865450273503,23107.0
WHO region,Europe,2019,934544503.0,254534.0,27.23615613626909,215932.0,23.105587728228283,84.83424611250364,15.165753887496365,15.165753887496365,38602.0,38602.0,15.165753887496367,25449.0,2.723144796026905,9.998271350782213,30479.0,3.2613749160322225,4790.0,0.512549160005064,11.974431706569653,69506.0,27.30715739351128,20657.0
WHO region,Europe,2020,936944799.0,237185.0,25.314725078056597,163675.0,17.469012067166616,69.00731496511162,30.992685034888382,30.992685034888382,73510.0,73510.0,30.99268503488838,25765.0,2.7498951941991625,10.862828593713768,29298.0,3.1269718377507107,7061.0,0.7536196377349227,12.352383160823829,67422.0,28.425912262579843,18702.0
WHO region,Europe,2021,938253974.0,234649.0,25.00911336401118,166031.0,17.695741728880755,70.75717348038985,29.242826519610148,29.242826519610148,68618.0,68618.0,29.242826519610144,24155.0,2.5744628500768814,10.294098845509676,30846.0,3.287595987309935,7116.0,0.7584300410327919,13.145591926664935,66090.0,28.165472684733366,17036.0
WHO region,Europe,2022,938725585.0,220275.0,23.46532400094326,170416.0,18.15397414570308,77.3651117920781,22.634888207921904,22.634888207921904,49859.0,49859.0,22.634888207921914,21320.0,2.271164261491818,9.678810577686981,26743.0,2.8488623754725935,4672.0,0.4976960332875129,12.14073317444104,60063.0,27.267279536942457,16645.0
WHO region,Europe,2023,939324662.0,217664.0,23.172392763174358,172354.0,18.348714451191533,79.18351220229344,20.816487797706557,20.816487797706557,45310.0,45310.0,20.816487797706557,20271.0,2.1580397939131295,9.312977800646868,26182.0,2.7873216853748484,4316.0,0.4594790464470952,12.028631284916202,58475.0,26.864800793884154,15952.0
WHO region,Europe,2024,940630573.0,202845.0,21.56478917680257,161630.0,17.18315400747664,79.68153023244349,20.318469767556508,20.318469767556508,41215.0,41215.0,20.318469767556508,19090.0,2.0294896368417317,9.411126722374227,22954.0,2.4402779006843955,3765.0,0.4002634092566328,11.316029480637924,54531.0,26.883088072173333,15322.0
WHO region,South-East Asia,2000,1369150013.0,4237390.0,309.49055689779993,1329637.0,97.11404794034063,31.37867885656029,68.62132114343972,68.62132114343972,2907753.0,2907753.0,68.6213211434397,1327915.0,96.98827647748779,31.338040633503173,559500.0,40.864769724835114,237017.0,17.311251342039757,13.20388257866281,,,1090898.0
WHO region,South-East Asia,2001,1393386691.0,4305000.0,308.959460270889,1321349.0,94.83002877339811,30.693356562137048,69.30664343786296,69.30664343786296,2983651.0,2983651.0,69.30664343786295,1255817.0,90.12695528896795,29.17112659698026,478270.0,34.32428363850362,257041.0,18.447212224736255,11.109639953542393,,,998776.0
WHO region,South-East Asia,2002,1417907049.0,4370060.0,308.20497035274985,1334460.0,94.1147729635132,30.536422840876327,69.46357715912367,69.46357715912367,3035600.0,3035600.0,69.46357715912367,1182925.0,83.4275420828379,27.068850313268012,416236.0,29.355661945087064,227201.0,16.023687882801408,9.524720484386942,,,955724.0
WHO region,South-East Asia,2003,1440890402.0,4410680.0,306.1079450510491,1387770.0,96.31336277025183,31.4638559133739,68.5361440866261,68.5361440866261,3022910.0,3022910.0,68.5361440866261,1101607.0,76.45321243523698,24.975899407801062,372280.0,25.836801985998658,203417.0,14.117451245261332,8.440421885060807,,,898190.0
WHO region,South-East Asia,2004,1463655424.0,4439030.0,303.28381442871625,1476632.0,100.88658681457528,33.264744775322534,66.73525522467747,66.73525522467747,2962398.0,2962398.0,66.73525522467746,1018603.0,69.59308750527337,22.946522100548993,343430.0,23.463855930068963,184741.0,12.621891530666714,7.736600113087769,,,833862.0
WHO region,South-East Asia,2005,1485686905.0,4446730.0,299.3046505986401,1534787.0,103.30487499316015,34.51495818275452,65.48504181724547,65.48504181724547,2911943.0,2911943.0,65.48504181724549,972605.0,65.465004552894,21.872364636485685,338728.0,22.799420177968116,179462.0,12.07939569205532,7.617462719796345,,,793143.0
WHO region,South-East Asia,2006,1507041275.0,4431840.0,294.0755554289646,1644444.0,109.11738299934751,37.10522040506877,62.89477959493123,62.89477959493123,2787396.0,2787396.0,62.89477959493123,930306.0,61.73062512836617,20.99141665764107,327819.0,21.752489824805895,171850.0,11.4031382451685,7.396905122928625,,,758456.0
WHO region,South-East Asia,2007,1527828155.0,4395690.0,287.7084039598681,1732220.0,113.37793418265683,39.407237544048826,60.592762455951174,60.592762455951174,2663470.0,2663470.0,60.59276245595117,889316.0,58.20785518905429,20.231544990661305,302891.0,19.824939016129075,156480.0,10.241989551501621,6.890636054862831,,,732836.0
WHO region,South-East Asia,2008,1547854838.0,4359950.0,281.6769307407107,1781856.0,115.11777178681403,40.868725558779346,59.131274441220654,59.131274441220654,2578094.0,2578094.0,59.13127444122066,871118.0,56.27905011593859,19.979999770639573,313113.0,20.228834921275737,156936.0,10.138935263643889,7.181573183178706,,,714182.0
